id,job_title,location,connection,fit,score_ce_base_software_engineering,score_ce_base_student,score_ce_base_swe,score_ce_base_craziest_person_ever,final_ce_base_score_mean,final_ce_base_score_sum,final_ce_base_score_max,final_ce_base_score_min,score_tfidf_base_software_engineering,score_tfidf_base_student,score_tfidf_base_swe,score_tfidf_base_craziest_person_ever,final_tfidf_base_score_mean,final_tfidf_base_score_sum,final_tfidf_base_score_max,final_tfidf_base_score_min,final_base_score_mean,final_base_score_max,rank,passes_initial_gate,score_ce_good_liberal_arts_major_aspiring_hu,score_ce_good_ct_bauer_college_business_grad,score_ce_good_aspiring_human_resources_profe,score_ce_good_director_human_resources_north,score_ce_good_human_resourcesconflict_manage,final_ce_good_score_mean,final_ce_good_score_sum,final_ce_good_score_max,final_ce_good_score_min,score_tfidf_good_liberal_arts_major_aspiring_hu,score_tfidf_good_ct_bauer_college_business_grad,score_tfidf_good_aspiring_human_resources_profe,score_tfidf_good_director_human_resources_north,score_tfidf_good_human_resourcesconflict_manage,final_tfidf_good_score_mean,final_tfidf_good_score_sum,final_tfidf_good_score_max,final_tfidf_good_score_min,final_good_score_mean,final_good_score_max,score_ce_bad_business_management_major_aspi,score_ce_bad_seeking_human_resources_hris_g,final_ce_bad_score_mean,final_ce_bad_score_sum,final_ce_bad_score_max,final_ce_bad_score_min,score_tfidf_bad_business_management_major_aspi,score_tfidf_bad_seeking_human_resources_hris_g,final_tfidf_bad_score_mean,final_tfidf_bad_score_sum,final_tfidf_bad_score_max,final_tfidf_bad_score_min,final_bad_score_mean,final_bad_score_max,model_fit_score,model_rank,final_fit_with_weights_mean
79,liberal arts major aspiring human resources analyst,"Baton Rouge, Louisiana Area",7,,0.059896133840084076,0.29501792788505554,0.04541373252868652,0.04500868543982506,0.1113341199234128,0.4453364796936512,0.29501792788505554,0.04500868543982506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07793388394638895,0.20651254951953887,1.0,True,0.9954503178596497,0.6007265448570251,0.5649072527885437,0.22779670357704163,0.19579315185546875,0.5169347941875457,2.584673970937729,0.9954503178596497,0.19579315185546875,1.0000000000000002,0.08541095445179211,0.0892912888612995,0.045228482109934603,0.01397459377827661,0.24678106384026063,1.2339053192013032,1.0000000000000002,0.01397459377827661,0.4358886750833602,0.9968152225017548,0.36744406819343567,0.389723539352417,0.37858380377292633,0.7571676075458527,0.389723539352417,0.36744406819343567,0.32647224528734115,0.051172906358085274,0.18882257582271322,0.37764515164542645,0.32647224528734115,0.051172906358085274,0.32165543538786234,0.37074815113289417,0.46386187849714206,2.0,1.0
1,ct bauer college business graduate magna cum laude aspiring human resources professional,"Houston, Texas",85,,0.09402910619974136,0.38126763701438904,0.12650197744369507,0.012304309755563736,0.1535257576033473,0.6141030304133892,0.38126763701438904,0.012304309755563736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1074680303223431,0.2668873459100723,1.0,True,0.5398569107055664,0.994077205657959,0.4673568606376648,0.15994788706302643,0.14565999805927277,0.46137977242469785,2.3068988621234894,0.994077205657959,0.14565999805927277,0.08541095445179211,1.0,0.11575125644024092,0.0319186011272814,0.009862136952560321,0.24858858979437493,1.2429429489718746,1.0,0.009862136952560321,0.39754241763560094,0.9958540439605712,0.6280857920646667,0.33237892389297485,0.4802323579788208,0.9604647159576416,0.6280857920646667,0.33237892389297485,0.14420957560893177,0.035579336819206844,0.0898944562140693,0.1797889124281386,0.14420957560893177,0.035579336819206844,0.3631309874493953,0.4829229271279462,0.4559056429237537,4.0,1.0
76,aspiring human resources professional passionate helping create inclusive engaging work environment,"New York, New York",212,,0.09205558151006699,0.05356302857398987,0.09913184493780136,0.04535022750496864,0.07252517063170671,0.29010068252682686,0.09913184493780136,0.04535022750496864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507676194421947,0.06939229145646095,1.0,True,0.4775886535644531,0.5348827838897705,0.9952852129936218,0.4431960880756378,0.23515518009662628,0.537221583724022,2.6861079186201096,0.9952852129936218,0.23515518009662628,0.0892912888612995,0.11575125644024092,1.0,0.03336870605881495,0.010310187083997427,0.2497442876888706,1.248721438444353,1.0,0.010310187083997427,0.4509783949134765,0.9966996490955353,0.5001119375228882,0.505235493183136,0.5026737153530121,1.0053474307060242,0.505235493183136,0.5001119375228882,0.09718174302391736,0.03704789597909401,0.06711481950150569,0.13422963900301138,0.09718174302391736,0.03704789597909401,0.37200604659756015,0.3828193681353704,0.4478298308226838,5.0,1.0
69,director human resources north america groupe beneteau,"Greater Grand Rapids, Michigan Area",500,,0.021472014486789703,0.01991960220038891,0.026801925152540207,0.018843529745936394,0.021759267896413803,0.08703707158565521,0.026801925152540207,0.018843529745936394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015231487527489661,0.018761347606778143,1.0,False,0.19289404153823853,0.18719135224819183,0.4759882688522339,0.9933085441589355,0.2153359204530716,0.4129436254501343,2.0647181272506714,0.9933085441589355,0.18719135224819183,0.045228482109934603,0.0319186011272814,0.03336870605881495,1.0,0.013269678326315577,0.2247570935244693,1.1237854676223464,1.0,0.013269678326315577,0.3564876658724348,0.9953159809112548,0.26123955845832825,0.3152080178260803,0.2882237881422043,0.5764475762844086,0.3152080178260803,0.26123955845832825,0.048261069954474795,0.048089709530545345,0.048175389742510066,0.09635077948502013,0.048261069954474795,0.048089709530545345,0.216209268622296,0.23512393346459864,0.4591857513442016,3.0,1.0
77,human resourcesconflict managementpolicies procedurestalent managementbenefits compensation,Dallas/Fort Worth Area,409,,0.04780356585979462,0.08713007718324661,0.10778603702783585,0.043027885258197784,0.07143689133226871,0.28574756532907486,0.10778603702783585,0.043027885258197784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050005823932588095,0.07545022591948508,1.0,True,0.16004996001720428,0.14972299337387085,0.23973755538463593,0.23339276015758514,0.9966616630554199,0.3559129863977432,1.7795649319887161,0.9966616630554199,0.14972299337387085,0.01397459377827661,0.009862136952560321,0.010310187083997427,0.013269678326315577,1.0000000000000002,0.20948331922823002,1.0474165961411501,1.0000000000000002,0.009862136952560321,0.3119840862468892,0.997663164138794,0.22263479232788086,0.2291479855775833,0.2258913889527321,0.4517827779054642,0.2291479855775833,0.22263479232788086,0.015063746526624658,0.01501025973088633,0.015037003128755494,0.03007400625751099,0.015063746526624658,0.01501025973088633,0.16263507320553908,0.1649227138622957,0.4913173184354731,1.0,1.0
98,student,"Houston, Texas Area",4,,0.248847097158432,0.892066240310669,0.05592532828450203,0.07842648774385452,0.3188162883743644,1.2752651534974575,0.892066240310669,0.05592532828450203,0.0,1.0,0.0,0.0,0.25,1.0,1.0,0.0,0.29817140186205504,0.9244463682174682,6.0,True,0.28525975346565247,0.24876141548156738,0.0443849116563797,0.00226947502233088,0.002594925696030259,0.11665409626439213,0.5832704813219607,0.28525975346565247,0.00226947502233088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08165786738507448,0.19968182742595672,0.14105354249477386,0.006542586255818605,0.07379806437529624,0.14759612875059247,0.14105354249477386,0.006542586255818605,0.0,0.0,0.0,0.0,0.0,0.0,0.05165864506270736,0.0987374797463417,0.3892427532095462,6.0,0.3892427532095462
80,junior mes engineer information systems,"Myrtle Beach, South Carolina Area",52,,0.6196328401565552,0.4821799397468567,0.11120637506246567,0.021884145215153694,0.3087258250452578,1.2349033001810312,0.6196328401565552,0.021884145215153694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21610807753168046,0.4337429881095886,7.0,True,0.2099880427122116,0.1796574741601944,0.10204500705003738,0.04075425863265991,0.0027904275339096785,0.1070470420178026,0.535235210089013,0.2099880427122116,0.0027904275339096785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07493292941246181,0.1469916298985481,0.13957150280475616,0.11083977669477463,0.1252056397497654,0.2504112794995308,0.13957150280475616,0.11083977669477463,0.0,0.0,0.0,0.0,0.0,0.0,0.08764394782483577,0.09770005196332932,0.3326115173427388,7.0,0.3326115173427388
84,human resources professional world leader gis software,"Highland, California",50,,0.43230459094047546,0.06968051195144653,0.03900942951440811,0.0024914215318858624,0.135871488484554,0.543485953938216,0.43230459094047546,0.0024914215318858624,0.16446363245925713,0.0,0.0,0.0,0.04111590811481428,0.16446363245925713,0.16446363245925713,0.0,0.10744481437363207,0.35195230339610994,8.0,True,0.28500330448150635,0.2088632434606552,0.5195930004119873,0.2540840208530426,0.23081669211387634,0.29967205226421356,1.4983602613210678,0.5195930004119873,0.2088632434606552,0.04269446344302449,0.0942020026694935,0.09848172621021638,0.04054084184430887,0.01252621732532412,0.05768905029847347,0.2884452514923673,0.09848172621021638,0.01252621732532412,0.22707715167449152,0.393259618151456,0.3173615038394928,0.2583697736263275,0.28786563873291016,0.5757312774658203,0.3173615038394928,0.2583697736263275,0.04918856402229191,0.04901391034819617,0.049101237185244034,0.09820247437048807,0.04918856402229191,0.04901391034819617,0.2162363182686103,0.2369096218943325,0.32431836825338634,8.0,0.32431836825338634
74,human resources professional,Greater Boston Area,16,,0.11869145929813385,0.07653672993183136,0.09280204772949219,0.0024025868624448776,0.07260820595547557,0.2904328238219023,0.11869145929813385,0.0024025868624448776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508257441688329,0.08308402150869369,9.0,True,0.5562902688980103,0.5560705065727234,0.662387490272522,0.48733821511268616,0.3916368782520294,0.5307446718215942,2.653723359107971,0.662387490272522,0.3916368782520294,0.12342895030678991,0.27233634922733035,0.2847089554538875,0.1172028677693613,0.0362130761484505,0.16677803978116393,0.8338901989058196,0.2847089554538875,0.0362130761484505,0.4215546822094651,0.5490839298269317,0.4876651465892792,0.3672081232070923,0.42743663489818573,0.8548732697963715,0.4876651465892792,0.3672081232070923,0.13606988973649528,0.13558674682210747,0.13582831827930136,0.2716566365586027,0.13606988973649528,0.13558674682210747,0.3399541399125204,0.382186569533444,0.31370073712580715,9.0,0.31370073712580715
6,aspiring human resources specialist,Greater New York City Area,1,,0.10782598704099655,0.06977885961532593,0.1124260276556015,0.010374308563768864,0.07510129571892321,0.30040518287569284,0.1124260276556015,0.010374308563768864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052570907003246244,0.07869821935892105,10.0,True,0.6250086426734924,0.6047565937042236,0.7671906352043152,0.49404004216194153,0.23671244084835052,0.5455416709184646,2.7277083545923233,0.7671906352043152,0.23671244084835052,0.21262169076787618,0.1500511762064487,0.15686820273376112,0.07945803886852142,0.024550764558207414,0.12470997462696295,0.6235498731348148,0.21262169076787618,0.024550764558207414,0.4192921620310141,0.6008199518733834,0.5919445753097534,0.5874627828598022,0.5897036790847778,1.1794073581695557,0.5919445753097534,0.5874627828598022,0.2505026219660271,0.09549731042386879,0.17299996619494792,0.34599993238989585,0.2505026219660271,0.09549731042386879,0.4646925652178288,0.4895119893066355,0.30862904120231105,10.0,0.30862904120231105
